date,confirmed,death,released,tested,negative,level
2020-05-05,10804,254,9283,640237,620575,3
2020-05-06,10806,255,9333,643095,624280,1
2020-05-07,10810,256,9419,649388,630149,1
2020-05-08,10822,256,9484,654863,635174,1
2020-05-09,10840,256,9568,660030,640037,1
2020-05-10,10874,256,9610,663886,642884,1
2020-05-11,10909,256,9632,668492,646661,1
2020-05-12,10936,258,9670,680890,653624,1
2020-05-13,10962,259,9695,695920,665379,1
2020-05-14,10991,260,9762,711484,679771,1
2020-05-15,11018,260,9821,726747,695854,1
2020-05-16,11037,262,9851,741145,711265,1
2020-05-17,11050,262,9888,747653,718943,1
2020-05-18,11065,263,9904,753211,726053,1
2020-05-19,11078,263,9938,765574,737571,1
2020-05-20,11110,263,10066,776433,748972,1
2020-05-21,11122,264,10135,788684,759473,1
2020-05-22,11142,264,10162,802418,770990,1
2020-05-23,11165,266,10194,814420,781686,1
2020-05-24,11190,266,10213,820289,788766,1
2020-05-25,11206,267,10226,826437,796142,1
2020-05-26,11225,269,10275,839475,806206,1
2020-05-27,11265,269,10295,852876,820550,1
2020-05-28,11344,269,10340,868666,834952,1
2020-05-29,11402,269,10363,885120,849161,1
2020-05-30,11441,269,10398,902901,865162,1
2020-05-31,11468,270,10405,910822,876060,1
2020-06-01,11503,271,10422,921391,885830,1
2020-06-02,11541,272,10446,939851,899388,1
2020-06-03,11590,273,10467,956852,917397,1
2020-06-04,11629,273,10499,973858,934030,1
2020-06-05,11668,273,10506,990960,950526,1
2020-06-06,11719,273,10531,1005305,965632,1
2020-06-07,11776,273,10552,1012769,974512,1
2020-06-08,11814,273,10563,1018214,982026,1
2020-06-09,11852,274,10589,1035997,996686,1
2020-06-10,11902,276,10611,1051972,1013847,1
2020-06-11,11947,276,10654,1066888,1029447,1
2020-06-12,12003,277,10669,1081487,1045240,1
2020-06-13,12051,277,10691,1094704,1059301,1
2020-06-14,12084,277,10718,1100327,1066887,1
2020-06-15,12121,277,10730,1105719,1072805,1
2020-06-16,12155,278,10760,1119767,1084980,1
2020-06-17,12198,279,10774,1132823,1099136,1
2020-06-18,12257,280,10800,1145712,1111741,1
2020-06-19,12306,280,10835,1158063,1124567,1
2020-06-20,12373,280,10856,1170901,1137058,1
2020-06-21,12421,280,10868,1176463,1143971,1
2020-06-22,12438,280,10881,1182066,1150225,1
2020-06-23,12484,281,10908,1196012,1161250,1
2020-06-24,12535,281,10930,1208597,1175817,1
2020-06-25,12563,282,10974,1220478,1189015,1
2020-06-26,12602,282,11172,1232315,1200885,1
2020-06-27,12653,282,11317,1243780,1211261,1
2020-06-28,12715,282,11364,1251695,1219975,1
2020-06-29,12757,282,11429,1259954,1228698,1
2020-06-30,12799,282,11537,1273765,1240157,1
2020-07-01,12850,282,11613,1285231,1252855,1
2020-07-02,12904,282,11684,1295962,1263276,1
2020-07-03,12967,282,11759,1307761,1273234,1
2020-07-04,13030,283,11811,1319523,1284172,1
2020-07-05,13091,283,11832,1326055,1291315,1
2020-07-06,13137,284,11848,1331796,1297367,1
2020-07-07,13181,285,11914,1346194,1309338,1
2020-07-08,13244,285,11970,1359735,1322479,1
2020-07-09,13293,287,12019,1371771,1334566,1
2020-07-10,13338,288,12065,1384890,1348025,1
2020-07-11,13373,288,12144,1396941,1360618,1
2020-07-12,13417,289,12178,1402144,1366897,1
2020-07-13,13479,289,12204,1408312,1372988,1
2020-07-14,13512,289,12282,1420616,1382815,1
2020-07-15,13551,289,12348,1431316,1394468,1
2020-07-16,13612,291,12396,1441348,1404332,1
2020-07-17,13672,293,12460,1451017,1414235,1
2020-07-18,13711,294,12519,1460204,1423570,1
2020-07-19,13745,295,12556,1465299,1429601,1
2020-07-20,13771,296,12572,1470193,1435120,1
2020-07-21,13816,296,12643,1482390,1444710,1
2020-07-22,13879,297,12698,1492071,1456441,1
2020-07-23,13938,297,12758,1500854,1465498,1
2020-07-24,13979,298,12817,1510327,1475789,1
2020-07-25,14092,298,12866,1518634,1484861,1
2020-07-26,14150,298,12890,1522926,1489562,1
2020-07-27,14175,299,12905,1526974,1494029,1
2020-07-28,14203,300,13007,1537704,1503057,1
2020-07-29,14251,300,13069,1547307,1513730,1
2020-07-30,14269,300,13132,1556215,1522928,1
2020-07-31,14305,301,13183,1563796,1531161,1
2020-08-01,14336,301,13233,1571830,1539216,1
2020-08-02,14366,301,13259,1576246,1544112,1
2020-08-03,14389,301,13280,1579757,1547967,1
2020-08-04,14423,301,13352,1589780,1556633,1
2020-08-05,14456,302,13406,1598187,1565241,1
2020-08-06,14499,302,13501,1606487,1573957,1
2020-08-07,14519,303,13543,1613652,1582065,1
2020-08-08,14562,304,13629,1620514,1589847,1
2020-08-09,14598,305,13642,1624650,1593249,1
2020-08-10,14626,305,13658,1628303,1597281,1
2020-08-11,14660,305,13729,1637844,1605695,1
2020-08-12,14714,305,13786,1646652,1614563,1
2020-08-13,14770,305,13817,1654898,1622330,1
2020-08-14,14873,305,13863,1665084,1630079,1
2020-08-15,15039,305,13901,1675296,1638639,1
2020-08-16,15318,305,13910,1681787,1644464,2
2020-08-17,15515,305,13917,1688470,1649991,2
2020-08-18,15761,306,13934,1697042,1656062,2
2020-08-19,16058,306,14006,1715064,1667984,2
2020-08-20,16346,307,14063,1734083,1682739,2
2020-08-21,16670,309,14120,1754123,1699408,2
2020-08-22,17002,309,14169,1775800,1716371,2
2020-08-23,17399,309,14200,1791186,1726223,2
2020-08-24,17665,309,14219,1804422,1738762,2
2020-08-25,17945,310,14286,1825837,1757530,2
2020-08-26,18265,312,14368,1849506,1778446,2
2020-08-27,18706,313,14461,1869579,1798832,2
2020-08-28,19077,316,14551,1887717,1817929,2
2020-08-29,19400,321,14765,1909329,1835883,2
2020-08-30,19699,323,14903,1924170,1846450,2.5
2020-08-31,19947,324,14973,1937689,1859866,2.5
2020-09-01,20182,324,15198,1959080,1882155,2.5
2020-09-02,20449,326,15356,1980295,1903098,2.5
2020-09-03,20644,329,15529,2000552,1924384,2.5
2020-09-04,20842,331,15783,2018906,1945798,2.5
2020-09-05,21010,333,16009,2037045,1963958,2.5
2020-09-06,21177,334,16146,2045935,1975137,2.5
2020-09-07,21296,336,16297,2051297,1982892,2.5
2020-09-08,21432,341,16636,2066078,2001276,2.5
2020-09-09,21588,344,17023,2082234,2024113,2.5
2020-09-10,21743,346,17360,2099591,2044830,2.5
2020-09-11,21919,350,17616,2119211,2067869,2.5
2020-09-12,22055,355,18029,2135457,2085576,2.5
2020-09-13,22176,358,18226,2143270,2093389,2.5
2020-09-14,22285,363,18489,2151002,2101241,2
2020-09-15,22391,367,18878,2164578,2114877,2
2020-09-16,22504,367,19310,2178832,2130486,2
2020-09-17,22657,372,19543,2191892,2143727,2
2020-09-18,22783,377,19771,2206365,2158179,2
2020-09-19,22893,378,19970,2219162,2171564,2
2020-09-20,22975,383,20158,2226701,2179452,2
2020-09-21,23045,385,20248,2231589,2186008,2
2020-09-22,23106,388,20441,2245112,2198784,2
2020-09-23,23216,388,20650,2256899,2213156,2
2020-09-24,23341,393,20832,2268999,2224876,2
2020-09-25,23455,395,20978,2280276,2237246,2
2020-09-26,23516,399,21166,2290345,2248321,2
2020-09-27,23611,401,21248,2296517,2254028,2
2020-09-28,23661,406,21292,2301303,2259055,2
2020-09-29,23699,407,21470,2313044,2269289,2
2020-09-30,23812,413,21590,2322999,2278591,2
2020-10-01,23889,415,21666,2328435,2284517,2
2020-10-02,23952,416,21733,2333777,2289830,2
2020-10-03,24027,420,21787,2339859,2294545,2
2020-10-04,24091,421,21845,2346345,2300138,2
2020-10-05,24164,422,21886,2352378,2305767,2
2020-10-06,24239,422,22083,2365433,2318457,2
2020-10-07,24353,425,22334,2378073,2331582,2
2020-10-08,24422,427,22463,2388844,2343444,2
2020-10-09,24476,428,22569,2400233,2355058,2
2020-10-10,24548,430,22624,2404684,2361154,2
2020-10-11,24606,432,22693,2410483,2366574,2
2020-10-12,24703,433,22729,2415610,2371715,1
2020-10-13,24794,434,22863,2428760,2383842,1
2020-10-14,24878,438,23030,2441443,2398169,1
2020-10-15,24988,439,23082,2450739,2407489,1
2020-10-16,25035,441,23180,2459426,2417036,1
2020-10-17,25108,443,23258,2468527,2426101,1
2020-10-18,25199,444,23312,2474529,2431549,1
2020-10-19,25275,444,23368,2479226,2437188,1
2020-10-20,25333,447,23466,2491311,2446599,1
2020-10-21,25424,450,23584,2503491,2458574,1
2020-10-22,25543,453,23647,2515325,2469969,1
2020-10-23,25698,455,23717,2528621,2482493,1
2020-10-24,25775,457,23834,2540679,2493016,1
2020-10-25,25836,457,23869,2546146,2498628,1
2020-10-26,25955,457,23905,2552264,2505546,1
2020-10-27,26043,460,23981,2567587,2518541,1
2020-10-28,26146,461,24073,2582960,2533910,1
2020-10-29,26271,462,24168,2597978,2545559,1
2020-10-30,26385,463,24227,2612231,2559473,1
2020-10-31,26511,464,24311,2624492,2572303,1
2020-11-01,26635,466,24357,2630630,2579157,1
2020-11-02,26732,468,24395,2636650,2584394,1
2020-11-03,26807,472,24510,2649859,2597237,1
2020-11-04,26925,474,24616,2662260,2611080,1
2020-11-05,27050,475,24735,2673706,2621594,1
2020-11-06,27195,476,24821,2686314,2633490,1
2020-11-07,27284,477,24910,2697249,2643748,1
2020-11-08,27427,478,24968,2702880,2649805,1
2020-11-09,27553,480,25029,2709199,2655844,1
2020-11-10,27653,485,25160,2723960,2668452,1
2020-11-11,27799,487,25266,2736534,2680047,1
2020-11-12,27942,487,25404,2749772,2692546,1
2020-11-13,28133,488,25537,2761411,2703159,1
2020-11-14,28338,492,25636,2777289,2714259,1
2020-11-15,28546,493,25691,2786878,2721954,1
2020-11-16,28768,494,25759,2797690,2730608,1
2020-11-17,28998,494,25860,2815755,2745555,1
2020-11-18,29311,496,25973,2834362,2762363,1
2020-11-19,29654,498,26098,2853843,2778664,1
